"t";"Ta";"G";"Ws";"Q1";"Q2";"Q3";"Q4"
"2009-04-04";7.03797951388889;245.939557459491;1.19183229166667;NA;2.04513889137242;NA;2.03402778113054
"2009-04-05";9.22102222222222;183.685858483796;2.24471840277778;NA;2.20138888971673;NA;1.16041666129604
"2009-04-06";7.25007777777778;224.153011446759;2.447834375;NA;1.96597222300867;NA;1.53750001106204
"2009-04-07";7.18577118055556;222.640503049769;2.06471770833333;NA;2.10555554967788;NA;1.44027777854353
"2009-04-08";9.806759375;211.235111197917;3.24362083333333;NA;1.88402777289351;NA;1.1437500028664
"2009-04-09";10.1132243055556;186.452845329861;2.20161215277778;NA;2.01319444759025;NA;0.465972223163893
"2009-04-10";9.590490625;237.999392575231;2.073184375;NA;1.98125000173847;NA;0.45763889596694
"2009-04-11";10.1712680555556;267.352945364583;3.72553229166667;NA;1.52986110291547;NA;0.039583333198809
"2009-04-12";10.0075184027778;250.941497685185;4.05045625;NA;1.93263887717492;NA;0.0486111104902293
"2009-04-13";9.51854166666667;272.293012731481;2.41965277777778;NA;2.64236111669905;NA;0.0437500001862645
"2009-04-14";9.87215277777778;227.53858912037;1.84472222222222;NA;1.57013889588416;NA;0.297222220183661
"2009-04-15";11.2342453125;229.922343391204;0.975052951388889;NA;1.68263887469139;NA;0.370833331719041
"2009-04-16";9.487003125;258.776719681713;3.23183715277778;NA;1.29444443972574;NA;0.314583332691755
"2009-04-17";8.65827681547619;269.527742480489;3.88933479166667;NA;1.47361110813088;NA;0.0951388895304667
"2009-04-18";8.14084340277778;291.967118582176;2.73647986111111;NA;1.73402777562539;NA;0.722222230034984
"2009-04-19";9.35841076388889;299.029611290509;2.34048715277778;NA;1.87499998525406;NA;0.884722229558974
"2009-04-20";6.79440694444444;307.232918559028;2.65324236111111;NA;1.62222222031818;NA;0.845833332640015
"2009-04-21";8.88276145833333;305.520883171296;1.20697638888889;NA;1.42222221811405;NA;1.20138889261418
"2009-04-22";9.29836770833333;302.639172158565;1.69924618055556;NA;1.55694443215099;NA;0.69861111500197
"2009-04-23";6.93249270833333;108.523180758102;2.14805208333333;NA;1.79513889385594;NA;0.268055556342006
"2009-04-24";9.82231979166667;297.979147609954;1.36535243055556;NA;1.525694437325;NA;0.716666661513348
"2009-04-25";10.2358298611111;311.396617314815;2.38066979166667;NA;1.28194443736639;NA;0.124305557304372
"2009-04-26";11.5393861111111;285.379818350694;3.33677708333333;1.61111111028327;1.33958333958354;NA;0.176388887326337
"2009-04-27";14.7991145833333;260.191179241898;1.57226423611111;1.02083333705862;0.991666667163372;NA;0.0576388890234133
"2009-04-28";13.0316684027778;192.123035202546;1.99403680555556;1.11319444949428;1.27777776711931;NA;0.0423611105005774
"2009-04-29";13.0643326388889;211.35565353588;2.25334791666667;1.3270833314293;1.17083333267106;NA;0.107638888992369
"2009-04-30";13.0639385416667;224.157165983796;1.509309375;1.43541666616996;1.23402777438362;NA;0.0583333331160248
"2009-05-01";13.3982840277778;293.262401608796;1.89033576388889;1.13819444800417;1.12013888979952;NA;0.122222222956932
"2009-05-02";11.3382180555556;319.288976412037;1.88033020833333;1.34999999486738;1.2083333366447;NA;0.215972223422594
"2009-05-03";12.3891489583333;310.986924050926;1.397203125;1.40833334128062;1.41736110956925;NA;0.0993055555865996
"2009-05-04";9.27873611111111;136.016349097222;1.758140625;1.78888889319367;1.17638888479107;NA;0.795833337948555
"2009-05-05";8.51085;259.842603240741;3.25001527777778;1.50769230827585;1.41041666434871;NA;0.920138888061047
"2009-05-06";9.69010868055556;214.330067013889;3.68338125;1.62291666803261;1.44166666848792;NA;0.254166669626203
"2009-05-07";9.28710486111111;259.602958234954;4.57304166666667;1.78749999817875;1.34374999958608;NA;0.172222223753731
"2009-05-08";10.7647875;141.857602332176;3.29487847222222;1.65694444295433;1.49513888483246;NA;0.0298611111938953
"2009-05-09";11.2841142361111;201.119274670139;3.46576875;1.61944444353382;2.30416666467985;NA;0.0840277770120236
"2009-05-10";11.8830506944444;285.121428587963;2.57259826388889;1.62777777844005;1.35486109761728;NA;0.0326388889095849
"2009-05-11";10.5742395833333;323.390068315972;1.99189479166667;1.40972221559948;1.33611110654763;NA;0.127777777146548
"2009-05-12";9.59134201388889;307.57712005787;1.98627256944444;1.48124999718534;1.27152778435912;NA;0.0736111100866562
"2009-05-13";10.9029086805556;285.143358917824;1.75212118055556;1.43055555017458;1.22361111651278;NA;0.165277780344089
"2009-05-14";11.8441378472222;322.647999311343;1.59323611111111;1.21388888483246;0.846527781854901;NA;0.181249999234246
"2009-05-15";11.1597583333333;338.051061278935;3.19353923611111;1.24374999250803;0.799305555514163;NA;0.122916667308244
"2009-05-16";10.9621034722222;263.941588009259;3.69411006944444;1.29930555861857;1.035416668074;NA;0.0770833346889251
"2009-05-17";11.2592100694444;176.003163148148;1.8982625;1.40277777984738;1.19374999755787;NA;0.0194444439580871
"2009-05-18";11.3652913194444;130.951573107639;3.13085694444444;1.46666666658388;1.45208332915273;NA;0.013888888578448
"2009-05-19";13.6917215277778;255.485848721065;1.62542916666667;1.15694443715943;1.19444444982542;NA;0.233333336292869
"2009-05-20";14.5743809027778;275.663324675926;1.68774826388889;1.21805554959509;0.959027773804135;NA;0.0625000001034803
"2009-05-21";14.1493302083333;347.675031209491;2.56204513888889;1.36388889472518;0.827083332257138;NA;0.0902777769499355
"2009-05-22";13.7116364583333;245.938436475694;1.54225902777778;1.0381944504463;0.626388886529538;NA;0.149999998354663
"2009-05-23";11.5101194444444;245.344022309028;2.64654791666667;1.05277777214845;0.861111108627584;NA;0.126388888133483
"2009-05-24";12.0173204861111;294.841086163194;2.61312118055556;1.30000000074506;1.01319444013966;NA;0.0423611114836402
"2009-05-25";14.247396875;287.447827546296;2.25713159722222;1.53680555543138;0.823611119606843;NA;0.0750000010658469
"2009-05-26";13.7182006944444;350.77421869213;1.77381770833333;0.975000001490116;0.738888888361139;NA;0.145833333592034
"2009-05-27";15.3366913194444;230.77545490162;3.98478333333333;0.867361110324661;0.719444449628807;NA;0.119444443533818
"2009-05-28";12.1288145833333;268.853156278935;4.29132881944444;1.06041666182379;0.844444446576138;NA;0.168750000393225
"2009-05-29";11.3068826388889;318.942537540509;5.52612430555556;1.15486111409134;0.809027782537871;NA;0.0895833331677648
"2009-05-30";13.5758583333333;370.356006377315;2.33980520833333;1.15486111450526;0.811111121334964;NA;0.13541666790843
"2009-05-31";15.8497569444444;345.631231302083;1.68663194444444;1.0145833334989;0.661805560346693;NA;0.0680555565696623
"2009-06-01";17.4586611111111;347.574178605324;1.57308229166667;1.00069445350932;0.79236111495023;NA;0.0708333337162104
"2009-06-02";18.5757920138889;346.475522424769;1.47077986111111;1.0416666712198;0.87708333807273;NA;0.0458333338610828
"2009-06-03";14.6462385416667;339.097213200231;4.43929618055556;0.739583336230781;0.408333340866698;NA;0.0805555558763444
"2009-06-04";10.5229833333333;229.647808107639;4.35122083333333;1.11736111177338;0.445138894383692;NA;0.0944444443513122
"2009-06-05";9.35022847222222;289.275715850694;2.78206180555556;1.34791666041646;0.798611115767724;NA;0.065277776060005
"2009-06-06";9.53050104166667;225.80733365162;1.68096458333333;1.05416666467985;0.921527784628173;NA;0.0777777793506782
"2009-06-07";11.2203427083333;250.000851736111;1.62211944444444;1.39444442776342;1.08333332971152;NA;0.0145833337576025
"2009-06-08";11.7988472222222;233.985847667824;2.31560520833333;1.3763888867365;0.96319444839739;NA;0.0215277779950864
"2009-06-09";12.0672072916667;233.759083061343;1.71252326388889;1.19374999590218;1.17013889157938;NA;0.145833335247719
"2009-06-10";12.0780038194444;149.061117841435;2.02144513888889;1.12986110937264;1.09583333838317;NA;0.0354166667287548
"2009-06-11";12.6814729166667;146.059380827546;2.70402326388889;1.24513889104128;1.1020833382176;NA;0.135416670443697
"2009-06-12";8.84433645833333;60.7954022164352;2.88856388888889;1.76944443500704;1.51597222354677;NA;0.466666663117293
"2009-06-13";10.7073850694444;218.968374675926;5.76797708333333;1.69236111061441;1.63680554760827;NA;1.21805555523477
"2009-06-14";11.4353927083333;345.834106157407;4.42236840277778;1.37013889104128;1.01180556168159;NA;0.831944450011684
"2009-06-15";13.8423378472222;292.555657876157;2.07462152777778;1.43888890122374;0.720138897239748;NA;0.632638891434504
"2009-06-16";11.8833024305556;352.396131828704;2.86157569444444;0.90069444725911;0.92638889172425;NA;0.147916667835994
"2009-06-17";10.8497423611111;278.365752199074;2.85568506944444;1.43819443881512;0.955952376836823;NA;0.0944444434717298
